ICUBedCapacity,ICUBedsInUse,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,cumulativeNegativeTests,cumulativePositiveTests,currentExposed,currentInfected,currentSusceptible,date,hospitalBedCapacity,hospitalBedsRequired,ventilatorCapacity,ventilatorsInUse
3231,933,1.02,0.0800000000000001,3160,1243320,782260,60614,70367,139707,38198515,2020-05-07,82447,3078,7873,612
3231,935,1.01,0.11,3262,1272019,812760,62512,70406,139853,38169778,2020-05-08,82447,3084,7873,614
3231,936,1.02,0.12,3363,1300729,848009,64561,70437,139985,38141036,2020-05-09,82447,3090,7873,615
3231,938,1.02,0.12,3465,1329447,888984,66680,70462,140102,38112293,2020-05-10,82447,3096,7873,617
3231,939,1.02,0.12,3567,1358174,923958,67939,70478,140206,38083550,2020-05-11,82447,3101,7873,619
3231,940,1.02,0.14,3669,1386910,963988,69382,70488,140295,38054804,2020-05-12,82447,3105,7873,620
3231,941,1,0.12,3771,1415650,994451,71141,70490,140371,38026062,2020-05-13,82447,3109,7873,621
3231,942,1.01,0.13,3874,1444386,1031487,73164,70485,140432,37997332,2020-05-14,82447,3113,7873,622
3231,943,1.02,0.14,3976,1473117,1058970,74936,70472,140480,37968613,2020-05-15,82447,3116,7873,623
3231,943,1.02,0.14,4079,1501845,1102333,76793,70452,140514,37939906,2020-05-16,82447,3119,7873,624
3231,944,,,4182,1530570,1156404,78839,70434,140536,37911199,2020-05-17,82447,3122,7873,625
3231,944,1.01,0.15,4285,1559311,1212242,80430,70508,140570,37882383,2020-05-18,82447,3124,7873,626
3231,945,1.03,0.17,4388,1588132,1257521,81795,70806,140669,37853265,2020-05-19,82447,3126,7873,627
3231,945,1.05,0.19,4491,1617108,1296063,84057,71325,140887,37823770,2020-05-20,82447,3128,7873,628
3231,946,1.04,0.18,4594,1646323,1334930,86197,72008,141280,37793871,2020-05-21,82447,3131,7873,628
3231,946,1.03,0.17,4698,1675847,1378329,88444,72825,141883,37763530,2020-05-22,82447,3135,7873,629
3231,948,1.04,0.18,4801,1705733,1424675,90631,73770,142702,37732699,2020-05-23,82447,3140,7873,631
3231,950,1.06,0.18,4905,1736030,1490035,92710,74845,143743,37701328,2020-05-24,82447,3148,7873,632
3231,952,1.06,0.2,5009,1766791,1549544,94558,76049,145012,37669362,2020-05-25,82447,3157,7873,634
3231,955,1.06,0.2,5114,1798086,1599663,96733,77387,146519,37636730,2020-05-26,82447,3170,7873,636
3231,959,1.05,0.19,5219,1829998,1637914,98980,78863,148273,37603341,2020-05-27,82447,3185,7873,639
3231,965,1.04,0.18,5324,1862533,1688862,101697,80478,150275,37569191,2020-05-28,82447,3204,7873,643
3231,971,1.04,0.16,5430,1895727,1731592,103886,82235,152529,37534241,2020-05-29,82447,3226,7873,647
3231,978,1.05,0.17,5537,1929708,1781717,106878,84139,155047,37498355,2020-05-30,82447,3253,7873,652
3231,987,1.03,0.17,5645,1964490,1834265,110583,86191,157829,37461521,2020-05-31,82447,3283,7873,657
3231,997,1.03,0.17,5753,2000081,1899577,113006,88342,160867,37423779,2020-06-01,82447,3318,7873,664
3231,1008,1.02,0.14,5863,2036516,1956281,115310,90381,164110,37385305,2020-06-02,82447,3358,7873,671
3231,1020,1.01,0.15,5974,2073770,2013607,117687,92341,167496,37346091,2020-06-03,82447,3402,7873,679
3231,1034,1.01,0.15,6087,2111817,2062864,119807,94275,170974,37306110,2020-06-04,82447,3450,7873,688
3231,1049,1.02,0.16,6201,2150652,2115562,122901,96207,174522,37265344,2020-06-05,82447,3502,7873,697
3231,1065,1.02,0.16,6317,2190275,2182284,126016,98147,178127,37223781,2020-06-06,82447,3558,7873,708
3231,1082,1.01,0.15,6434,2230691,2233406,128812,100100,181783,37181411,2020-06-07,82447,3616,7873,718
3231,1100,1,0.14,6553,2271907,2299871,131319,102070,185487,37138226,2020-06-08,82447,3678,7873,730
3231,1119,1.01,0.13,6675,2313929,2352756,133489,104056,189237,37094217,2020-06-09,82447,3743,7873,742
3231,1139,1.01,0.15,6798,2356766,2404607,136191,106061,193029,37049376,2020-06-10,82447,3810,7873,754
3231,1160,1.01,0.15,6924,2400423,2458366,139281,108083,196864,37003697,2020-06-11,82447,3880,7873,767
3231,1181,1.01,0.13,7052,2444910,2520275,141983,110121,200738,36957171,2020-06-12,82447,3952,7873,781
