model_team,pointNA,target_end_date
PSI.DRAFT,6651.5,2020-07-13
SWC.TerminusCM,6771,2020-07-13
USACE.ERDC_SEIR,7393.07702829636,2020-07-13
UT.Mobility,6896,2020-07-13
Covid19Sim.Simulator,6840.11317110745,2020-07-13
IowaStateLW.STEM,6706,2020-07-13
UA.EpiCovDA,6458,2020-07-13
UCLA.SuEIR,6543.3150161831,2020-07-13
NotreDame.mobility,5660.56129056129,2020-07-13
YYG.ParamSearch,7220.34598180114,2020-07-14
CU.nochange,8099,2020-07-14
CU.scenario_high,8341,2020-07-14
CU.scenario_low,8245,2020-07-14
CU.scenario_mid,7997,2020-07-14
CU.select,8245,2020-07-14
LANL.GrowthRate,6910.57261875984,2020-07-14
Auquan.SEIR,10243,2020-07-14
MIT_CovidAnalytics.DELPHI,7654,2020-07-14
PSI.DRAFT,6704,2020-07-14
SWC.TerminusCM,6830,2020-07-14
USACE.ERDC_SEIR,7487.70189051756,2020-07-14
Covid19Sim.Simulator,6897.2052589466,2020-07-14
IowaStateLW.STEM,6733,2020-07-14
UA.EpiCovDA,6465,2020-07-14
UCLA.SuEIR,6580.81495483691,2020-07-14
NotreDame.mobility,5686.33377733378,2020-07-14
YYG.ParamSearch,7305.2460504407,2020-07-15
CU.nochange,8240,2020-07-15
CU.scenario_high,8495,2020-07-15
CU.scenario_low,8369,2020-07-15
CU.scenario_mid,8115,2020-07-15
CU.select,8369,2020-07-15
LANL.GrowthRate,6957.41969781887,2020-07-15
Auquan.SEIR,10330,2020-07-15
MIT_CovidAnalytics.DELPHI,7726,2020-07-15
PSI.DRAFT,6757.5,2020-07-15
SWC.TerminusCM,6888,2020-07-15
USACE.ERDC_SEIR,7581.66831502934,2020-07-15
Covid19Sim.Simulator,6954.04357509398,2020-07-15
IowaStateLW.STEM,6759,2020-07-15
UA.EpiCovDA,6469,2020-07-15
UCLA.SuEIR,6617.54151713365,2020-07-15
NotreDame.mobility,5712.19957819958,2020-07-15
YYG.ParamSearch,7391.40529171136,2020-07-16
CU.nochange,8391,2020-07-16
CU.scenario_high,8661,2020-07-16
CU.scenario_low,8509,2020-07-16
CU.scenario_mid,8228,2020-07-16
CU.select,8509,2020-07-16
LANL.GrowthRate,7003.41628055006,2020-07-16
Auquan.SEIR,10410,2020-07-16
MIT_CovidAnalytics.DELPHI,7797,2020-07-16
PSI.DRAFT,6811.5,2020-07-16
SWC.TerminusCM,6946,2020-07-16
USACE.ERDC_SEIR,7675.00129294552,2020-07-16
Covid19Sim.Simulator,7010.92205767372,2020-07-16
IowaStateLW.STEM,6782,2020-07-16
UCLA.SuEIR,6653.50309213779,2020-07-16
NotreDame.mobility,5738.22903022903,2020-07-16
YYG.ParamSearch,7478.83218112989,2020-07-17
CU.nochange,8543,2020-07-17
CU.scenario_high,8838,2020-07-17
CU.scenario_low,8628,2020-07-17
CU.scenario_mid,8342,2020-07-17
CU.select,8628,2020-07-17
LANL.GrowthRate,7046.12607674849,2020-07-17
Auquan.SEIR,10487,2020-07-17
MIT_CovidAnalytics.DELPHI,7866,2020-07-17
PSI.DRAFT,6858.5,2020-07-17
SWC.TerminusCM,7005,2020-07-17
USACE.ERDC_SEIR,7767.61782963841,2020-07-17
Covid19Sim.Simulator,7067.91267915815,2020-07-17
IowaStateLW.STEM,6806,2020-07-17
UCLA.SuEIR,6688.70843449371,2020-07-17
NotreDame.mobility,5764.38365338365,2020-07-17
YYG.ParamSearch,7567.53426988362,2020-07-18
LANL.GrowthRate,7091.42406573573,2020-07-18
Auquan.SEIR,10560,2020-07-18
MIT_CovidAnalytics.DELPHI,7935,2020-07-18
PSI.DRAFT,6902,2020-07-18
SWC.TerminusCM,7063,2020-07-18
USACE.ERDC_SEIR,7859.47734273282,2020-07-18
Covid19Sim.Simulator,7126.0087520336,2020-07-18
IowaStateLW.STEM,6827,2020-07-18
NotreDame.mobility,5790.52173752174,2020-07-18
LANL.GrowthRate,7091.42406573573,2020-07-18
YYG.ParamSearch,7567.53426988362,2020-07-18
Covid19Sim.Simulator,7126.0087520336,2020-07-18
IHME.CurveFit,7602.61251659324,2020-07-18
IowaStateLW.STEM,6827,2020-07-18
MIT_CovidAnalytics.DELPHI,7935,2020-07-18
PSI.DRAFT,6902,2020-07-18
SWC.TerminusCM,7063,2020-07-18
UCLA.SuEIR,6723.16662970313,2020-07-18
USACE.ERDC_SEIR,7859.47734273282,2020-07-18
YYG.ParamSearch,7657.51836277018,2020-07-19
LANL.GrowthRate,7132.70171558838,2020-07-19
Auquan.SEIR,10632,2020-07-19
MIT_CovidAnalytics.DELPHI,8003,2020-07-19
PSI.DRAFT,6948.5,2020-07-19
SWC.TerminusCM,7121,2020-07-19
USACE.ERDC_SEIR,7950.59318924907,2020-07-19
Covid19Sim.Simulator,7185.33437282234,2020-07-19
IowaStateLW.STEM,6847,2020-07-19
UCLA.SuEIR,6756.88706129219,2020-07-19
NotreDame.mobility,5816.67192067192,2020-07-19
YYG.ParamSearch,7748.78389524191,2020-07-20
LANL.GrowthRate,7177.36691761837,2020-07-20
Auquan.SEIR,10700,2020-07-20
MIT_CovidAnalytics.DELPHI,8069,2020-07-20
PSI.DRAFT,6998,2020-07-20
SWC.TerminusCM,7179,2020-07-20
USACE.ERDC_SEIR,8040.87290733575,2020-07-20
Covid19Sim.Simulator,7244.99622108335,2020-07-20
IowaStateLW.STEM,6868,2020-07-20
UCLA.SuEIR,6789.87937978316,2020-07-20
NotreDame.mobility,5842.85140785141,2020-07-20
