county,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths_mean,deaths_lower,deaths_upper,totdea_mean,totdea_lower,totdea_upper,deaths_mean_smoothed,deaths_lower_smoothed,deaths_upper_smoothed,totdea_mean_smoothed,totdea_lower_smoothed,totdea_upper_smoothed,mobility_data_type,mobility_composite,total_tests_data_type,total_tests,confirmed_infections,est_infections_mean,est_infections_lower,est_infections_upper
California,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64843909220408e-05,2.64843909220408e-05,2.64843909220408e-05,4.64245843472635e-05,4.64245843472635e-05,4.64245843472635e-05,"",,observed,6.12864874231219,0,0.588891050145907,0.288254343885337,1.00527012422474
California,2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5176341714523e-05,3.5176341714523e-05,3.5176341714523e-05,8.16009260617865e-05,8.16009260617865e-05,8.16009260617865e-05,"",,observed,6.89522700937956,0,0.782054943259239,0.382792230348899,1.34000910305129
California,2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67209226179105e-05,4.67209226179105e-05,4.67209226179105e-05,0.000128321848679697,0.000128321848679697,0.000128321848679697,"",,observed,7.66961819158286,0,1.03857820227522,0.509591881630116,1.77595750902402
California,2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2054346201521e-05,6.2054346201521e-05,6.2054346201521e-05,0.000190376194881218,0.000190376194881218,0.000190376194881218,"",,observed,8.46425319928848,0,1.37924292728012,0.67565344692186,2.36125628755566
California,2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.242008370171e-05,8.242008370171e-05,8.242008370171e-05,0.000272796278582928,0.000272796278582928,0.000272796278582928,observed,-0.841100879657308,observed,9.29061293072518,0,1.83164772156722,0.897307660909203,3.14190502673499
California,2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109469705373431,0.000109469705373431,0.000109469705373431,0.000382265983956359,0.000382265983956359,0.000382265983956359,observed,-0.656564313427676,observed,10.1572514229838,0,2.43244346266252,1.19165115500047,4.18522224832211
California,2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000145396816037819,0.000145396816037819,0.000145396816037819,0.000527662799994178,0.000527662799994178,0.000527662799994178,observed,-0.365216657118008,observed,11.0696200945861,0,3.23030238121668,1.57874174888748,5.57502150475131
California,2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000193114947476353,0.000193114947476353,0.000193114947476353,0.000720777747470531,0.000720777747470531,0.000720777747470531,observed,-0.0299061270495891,observed,12.0327012411948,1.00000000000001,4.2898609607758,2.09091052466313,7.42593113685902
California,2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000256493834053517,0.000256493834053517,0.000256493834053517,0.000977271581524048,0.000977271581524048,0.000977271581524048,observed,0.285686609659134,observed,13.0557511926669,0,5.69552488031521,2.76858567729894,9.88153037858395
California,2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000340673232605702,0.000340673232605702,0.000340673232605702,0.00131794481412975,0.00131794481412975,0.00131794481412975,observed,0.527736663604664,observed,14.1561835888903,1,7.55045679656634,3.66215716298281,13.0651711788993
